"date" "year" "month" "day" "pm_Ave" "log_pm_Ave"
"2013-01-01" 2013 1 1 15.8333333333333 2.76211742237249
"2013-01-02" 2013 1 2 18.625 2.92450476426562
"2013-01-03" 2013 1 3 25.0833333333333 3.22220361496088
"2013-01-04" 2013 1 4 85.5 4.44851637594271
"2013-01-05" 2013 1 5 61.1666666666667 4.11360237882652
"2013-01-06" 2013 1 6 139.958333333333 4.94134475926435
"2013-01-07" 2013 1 7 146.166666666667 4.98474752314413
"2013-01-08" 2013 1 8 118.833333333333 4.77772195118624
"2013-01-09" 2013 1 9 61.9166666666667 4.12578939492976
"2013-01-10" 2013 1 10 248.291666666667 5.51460413039903
"2013-01-11" 2013 1 11 361.25 5.88957023942664
"2013-01-12" 2013 1 12 568.565217391304 6.34311602497735
"2013-01-13" 2013 1 13 416.260869565217 6.03131215402331
"2013-01-14" 2013 1 14 299.5 5.7021144175555
"2013-01-15" 2013 1 15 114.95652173913 4.74455398504243
"2013-01-16" 2013 1 16 112 4.71849887129509
"2013-01-17" 2013 1 17 75.7916666666667 4.32798834817018
"2013-01-18" 2013 1 18 276.833333333333 5.62341564038524
"2013-01-19" 2013 1 19 189.416666666667 5.24394917406454
"2013-01-20" 2013 1 20 107.25 4.67516255780813
"2013-01-21" 2013 1 21 147.833333333333 4.99608551308152
"2013-01-22" 2013 1 22 198.875 5.29267648665795
"2013-01-23" 2013 1 23 378.083333333333 5.93511462987596
"2013-01-24" 2013 1 24 19.4166666666667 2.9661318037777
"2013-01-25" 2013 1 25 73.9583333333333 4.30350187156157
"2013-01-26" 2013 1 26 161.375 5.08373084916681
"2013-01-27" 2013 1 27 312.958333333333 5.74607006133807
"2013-01-28" 2013 1 28 406.375 6.00727637862407
"2013-01-29" 2013 1 29 429.782608695652 6.06327951967557
"2013-01-30" 2013 1 30 277.916666666667 5.62732130856172
"2013-01-31" 2013 1 31 173.5 5.15617759938691
"2013-02-01" 2013 2 1 34.5833333333333 3.5433718704427
"2013-02-02" 2013 2 2 49.0833333333333 3.89351953386359
"2013-02-03" 2013 2 3 188.875 5.2410854205929
"2013-02-04" 2013 2 4 37.5416666666667 3.62545142726039
"2013-02-05" 2013 2 5 93.4166666666667 4.53706977328416
"2013-02-06" 2013 2 6 93.75 4.54063166485052
"2013-02-07" 2013 2 7 12.6666666666667 2.53897387105828
"2013-02-08" 2013 2 8 60.3333333333333 4.09988474259772
"2013-02-09" 2013 2 9 188.583333333333 5.23953999584554
"2013-02-10" 2013 2 10 59.8333333333333 4.09156291926022
"2013-02-11" 2013 2 11 65.2916666666667 4.17886441200808
"2013-02-12" 2013 2 12 119.125 4.78017336197437
"2013-02-13" 2013 2 13 315.041666666667 5.75270490521032
"2013-02-14" 2013 2 14 70.304347826087 4.25283364364796
"2013-02-15" 2013 2 15 40.5416666666667 3.70233025183806
"2013-02-16" 2013 2 16 145.375 4.97931661083883
"2013-02-17" 2013 2 17 124.041666666667 4.82061753066783
"2013-02-18" 2013 2 18 22.375 3.10794426416092
"2013-02-19" 2013 2 19 32.9583333333333 3.49524413741971
"2013-02-20" 2013 2 20 83.4166666666667 4.42384812952722
"2013-02-21" 2013 2 21 212.666666666667 5.35972599467668
"2013-02-22" 2013 2 22 85.0833333333333 4.44363116837667
"2013-02-23" 2013 2 23 149 5.00394630594546
"2013-02-24" 2013 2 24 332.875 5.8077670441341
"2013-02-25" 2013 2 25 159.458333333333 5.07178265507776
"2013-02-26" 2013 2 26 216.416666666667 5.37720556187475
"2013-02-27" 2013 2 27 245.708333333333 5.50414519565256
"2013-02-28" 2013 2 28 221.125 5.39872815247995
"2013-03-01" 2013 3 1 10.5 2.35137525716348
"2013-03-02" 2013 3 2 48.8333333333333 3.88841313978901
"2013-03-03" 2013 3 3 101 4.61512051684126
"2013-03-04" 2013 3 4 25.0869565217391 3.22234805057895
"2013-03-05" 2013 3 5 183.416666666667 5.21176043173846
"2013-03-06" 2013 3 6 226.04347826087 5.42072736245457
"2013-03-07" 2013 3 7 318.458333333333 5.76349164489494
"2013-03-08" 2013 3 8 222.166666666667 5.40342785095065
"2013-03-09" 2013 3 9 64.4583333333333 4.16601902022512
"2013-03-10" 2013 3 10 42.125 3.74064138867253
"2013-03-11" 2013 3 11 126.583333333333 4.84090085280777
"2013-03-12" 2013 3 12 147.208333333333 4.9918488170112
"2013-03-13" 2013 3 13 22.0416666666667 3.09293460151035
"2013-03-14" 2013 3 14 112.782608695652 4.72546214894724
"2013-03-15" 2013 3 15 257.541666666667 5.55118151931133
"2013-03-16" 2013 3 16 265.217391304348 5.58054983423225
"2013-03-17" 2013 3 17 351.291666666667 5.86161683757473
"2013-03-18" 2013 3 18 52.7083333333333 3.96477357081368
"2013-03-19" 2013 3 19 56.1666666666667 4.02832346112431
"2013-03-20" 2013 3 20 64.9166666666667 4.17310439608275
"2013-03-21" 2013 3 21 157.625 5.06021879428508
"2013-03-22" 2013 3 22 64.5 4.16666522380173
"2013-03-23" 2013 3 23 55.1666666666667 4.01035890614901
"2013-03-24" 2013 3 24 23.3333333333333 3.14988295338125
"2013-03-25" 2013 3 25 113.652173913043 4.73314267825502
"2013-03-26" 2013 3 26 196.541666666667 5.28087445293632
"2013-03-27" 2013 3 27 92.7083333333333 4.5294583642524
"2013-03-28" 2013 3 28 37.0833333333333 3.61316763237824
"2013-03-29" 2013 3 29 95.9166666666667 4.56347975893388
"2013-03-30" 2013 3 30 94.5833333333333 4.5494812801275
"2013-03-31" 2013 3 31 200.458333333333 5.30060641135151
"2013-04-01" 2013 4 1 95.6666666666667 4.56086992709151
"2013-04-02" 2013 4 2 116.782608695652 4.76031416115403
"2013-04-03" 2013 4 3 123.458333333333 4.81590371722562
"2013-04-04" 2013 4 4 83.2916666666667 4.42234850415245
"2013-04-05" 2013 4 5 61.5 4.11903717481247
"2013-04-06" 2013 4 6 15.125 2.71634900391691
"2013-04-07" 2013 4 7 79.9583333333333 4.38150566565975
"2013-04-08" 2013 4 8 19.2916666666667 2.95967322373829
"2013-04-09" 2013 4 9 11.4166666666667 2.43507427604012
"2013-04-10" 2013 4 10 12.4583333333333 2.52238974304274
"2013-04-11" 2013 4 11 18.9130434782609 2.93985181515953
"2013-04-12" 2013 4 12 51.7083333333333 3.94561895485666
"2013-04-13" 2013 4 13 59.25 4.08176578001524
"2013-04-14" 2013 4 14 30.8333333333333 3.42859635585027
"2013-04-15" 2013 4 15 68.4347826086957 4.2258812130482
"2013-04-16" 2013 4 16 61.3181818181818 4.11607640284944
"2013-04-17" 2013 4 17 47.125 3.85280364576817
"2013-04-18" 2013 4 18 11.7916666666667 2.46739306729529
"2013-04-19" 2013 4 19 54.625 4.00049165341575
"2013-04-20" 2013 4 20 78.5416666666667 4.36362926953417
"2013-04-21" 2013 4 21 130.875 4.8742426691907
"2013-04-22" 2013 4 22 171.583333333333 5.14506905723979
"2013-04-23" 2013 4 23 206.291666666667 5.32929102501348
"2013-04-24" 2013 4 24 78.875 4.36786432086138
"2013-04-25" 2013 4 25 17.25 2.84781214347737
"2013-04-26" 2013 4 26 72.4166666666667 4.28243647547739
"2013-04-27" 2013 4 27 72.7083333333333 4.28645600428858
"2013-04-28" 2013 4 28 71.7083333333333 4.27260696586359
"2013-04-29" 2013 4 29 30.0416666666667 3.402585306937
"2013-04-30" 2013 4 30 21.4166666666667 3.06416943510722
"2013-05-01" 2013 5 1 45.7083333333333 3.82228062992728
"2013-05-02" 2013 5 2 82.9166666666667 4.41783608737059
"2013-05-03" 2013 5 3 64.125 4.16083430349093
"2013-05-04" 2013 5 4 86.625 4.46158845751007
"2013-05-05" 2013 5 5 186.291666666667 5.22731354588603
"2013-05-06" 2013 5 6 214.291666666667 5.36733801542697
"2013-05-07" 2013 5 7 178.958333333333 5.18715300407041
"2013-05-08" 2013 5 8 124.291666666667 4.8226309541668
"2013-05-09" 2013 5 9 49.7083333333333 3.90617259174997
"2013-05-10" 2013 5 10 48.75 3.88670519744386
"2013-05-11" 2013 5 11 53.2083333333333 3.97421502568459
"2013-05-12" 2013 5 12 48.9166666666667 3.8901181700401
"2013-05-13" 2013 5 13 104.5 4.64918707140487
"2013-05-14" 2013 5 14 62.8333333333333 4.14048571821996
"2013-05-15" 2013 5 15 67.5 4.21212759787848
"2013-05-16" 2013 5 16 68.75 4.23047673654668
"2013-05-17" 2013 5 17 108.8 4.68951133442184
"2013-05-18" 2013 5 18 85.8823529411765 4.45297837064617
"2013-05-19" 2013 5 19 54.5 3.9982007016692
"2013-05-20" 2013 5 20 48.625 3.88413780193861
"2013-05-21" 2013 5 21 101.541666666667 4.62046922327726
"2013-05-22" 2013 5 22 62.7083333333333 4.13849434683503
"2013-05-23" 2013 5 23 87.0833333333333 4.46686551461091
"2013-05-24" 2013 5 24 115.541666666667 4.74963121526783
"2013-05-25" 2013 5 25 63.8333333333333 4.15627551995259
"2013-05-26" 2013 5 26 103.458333333333 4.63916895516022
"2013-05-27" 2013 5 27 76.5416666666667 4.33783525486718
"2013-05-28" 2013 5 28 83.3913043478261 4.42354403951423
"2013-05-29" 2013 5 29 20.4166666666667 3.01635156075673
"2013-05-30" 2013 5 30 59.375 4.08387326235481
"2013-05-31" 2013 5 31 91.625 4.51770416020682
"2013-06-01" 2013 6 1 73.1666666666667 4.29273994384712
"2013-06-02" 2013 6 2 155.708333333333 5.04798459913754
"2013-06-03" 2013 6 3 131.791666666667 4.8812223929577
"2013-06-04" 2013 6 4 129.875 4.86657244941939
"2013-06-05" 2013 6 5 146.958333333333 4.99014909988811
"2013-06-06" 2013 6 6 153.75 5.03532790668663
"2013-06-07" 2013 6 7 137.166666666667 4.92119673144901
"2013-06-08" 2013 6 8 174.791666666667 5.16359478855336
"2013-06-09" 2013 6 9 56.75 4.03865565636151
"2013-06-10" 2013 6 10 32.2083333333333 3.47222521823948
"2013-06-11" 2013 6 11 61.9583333333333 4.12646211611221
"2013-06-12" 2013 6 12 67.9583333333333 4.21889477227307
"2013-06-13" 2013 6 13 107.416666666667 4.67671535315119
"2013-06-14" 2013 6 14 108.166666666667 4.68367324747603
"2013-06-15" 2013 6 15 125.708333333333 4.83396440881112
"2013-06-16" 2013 6 16 174.458333333333 5.1616859356712
"2013-06-17" 2013 6 17 35.8333333333333 3.57887855889961
"2013-06-18" 2013 6 18 53.7083333333333 3.98356817259124
"2013-06-19" 2013 6 19 51.5 3.94158180766969
"2013-06-20" 2013 6 20 91.9545454545455 4.52129438380943
"2013-06-21" 2013 6 21 77.5833333333333 4.35135262748907
"2013-06-22" 2013 6 22 59.7916666666667 4.09086629784578
"2013-06-23" 2013 6 23 68.8333333333333 4.23168812373298
"2013-06-24" 2013 6 24 108.791666666667 4.68943473835118
"2013-06-25" 2013 6 25 127.375 4.84713549154289
"2013-06-26" 2013 6 26 157.75 5.06101150142132
"2013-06-27" 2013 6 27 92.7083333333333 4.5294583642524
"2013-06-28" 2013 6 28 294.458333333333 5.68513751034291
"2013-06-29" 2013 6 29 104.416666666667 4.64838930510807
"2013-06-30" 2013 6 30 180.416666666667 5.19526899064859
"2013-07-01" 2013 7 1 143.291666666667 4.96488218008432
"2013-07-02" 2013 7 2 17.4583333333333 2.85981708957419
"2013-07-03" 2013 7 3 31.8333333333333 3.46051395881857
"2013-07-04" 2013 7 4 28.2916666666667 3.34256729721075
"2013-07-05" 2013 7 5 23.125 3.14091428339849
"2013-07-06" 2013 7 6 60.9583333333333 4.11019057067218
"2013-07-07" 2013 7 7 92.375 4.52585637926837
"2013-07-08" 2013 7 8 91.2916666666667 4.51405950924752
"2013-07-09" 2013 7 9 83.2916666666667 4.42234850415245
